author_name,sentiment,compound_score,positive_score,negative_score,neutral_score,likes,reply_count,comment_text
@SJJ-y4c,Neutral,0.0,0.0,0.0,1.0,1,0,1:19:28 Girl GAAAHHH DAMN‼️‼️
@kalambaymalaba4729,Negative,-0.4019,0.168,0.273,0.559,1,0,What an interesting episode. The widow lady got me fucked up 😅
@lesliewheeler7071,Negative,-0.3178,0.052,0.093,0.856,1,0,"The fact that the guy from FL and the lady from CA didn't work out because they didn't want to work on the distance makes me sad for them.  They're both in the USA! That's a good start!
I met my hubby when he was living in CA, and I was in South Korea!"
@ActiveM7,Negative,-0.1779,0.0,0.254,0.746,5,0,Unc obsessed with that green dress
@THEJDIDDY7,Positive,0.3182,0.161,0.0,0.839,1,0,Green dress made sure to address everything besides the lunch lady bbl arms
@roycetermushroom,Positive,0.1511,0.242,0.0,0.758,0,0,I want that 50 year old lady!
@msnismith,Neutral,0.0,0.0,0.0,1.0,1,0,Doesn't the first guy give off Juvenile vibes?😂
@DeeScott-k7w,Negative,-0.4767,0.142,0.202,0.656,105,0,I hate how those men were toying with lady number one knowing they didn’t want her
@landowilliams7903,Negative,-0.7184,0.1,0.34,0.56,0,0,That combat veteran looks like he about to fight somebody ... that man about to whoop someone's ass 😂
@cashville7949,Neutral,0.0258,0.068,0.065,0.867,1,0,I’ve never had to double tap my phone so much during one of these episodes. 1:16:41 pink dress and the first guy who was his father only son had me double tapping like crazy
@SheCallMePapii,Negative,-0.2732,0.0,0.189,0.811,0,0,I would cuff the widow in a heartbeat. She is just nervous.
@gracelong3975,Negative,-0.4588,0.0,0.214,0.786,0,0,Leather suit was too rude to the lady in the green dress
@stephanien2636,Positive,0.4404,0.492,0.0,0.508,7,0,The comments soooooo funny 😂 😂
@ReeseMoe73,Positive,0.3612,0.263,0.153,0.584,5,0,This is low key one of the funniest episodes 🤣 😂🤣
@justsick,Positive,0.4767,0.339,0.0,0.661,2,0,Even these old men don't know what they want lol
@iansimmons8826,Negative,-0.296,0.0,0.128,0.872,0,0,"This show is a clinic. 

Even without the hosts knowing it. No commentary needed, only this show."
@veeis4vibe705,Negative,-0.6007,0.0,0.258,0.742,2,0,“I’ll drop a baby in you tonight.” The unsolicited sexual innuendos are weird. Normalize not giggling when 🥷🏽’s do that shi.
@holyname2252,Positive,0.7528,0.141,0.028,0.831,1,0,Green dress says she doesn’t have a waist trainer on nor are her eyebrows drawn on … sis please be real your body was done! That’s not natural. Also your brows are filled in which is the same as drawn on. He didn’t  need to come for you like that but be truthful!
@gsignaturemessage,Positive,0.5563,0.264,0.0,0.736,0,0,@1:25:23  is she start of the most honest answer I've heard 😂
@Dantey-A,Neutral,0.0,0.0,0.0,1.0,0,0,Where is Arlette? ☹
@GaMeBoY439,Positive,0.6808,0.15,0.064,0.786,1,0,"I dunno, something seemed off with the body of the woman in the green dress. Maybe she wasn’t wearing a waist trainer, but it looked like she was either wearing something else that basically does the same thing, or maybe had some kind of surgery? Just didn’t seem like a natural body to me. I could be wrong 🤷🏽‍♂️"
@Christian900,Positive,0.8442,0.618,0.0,0.382,2,0,"Last woman was the best looking, 

Beautiful 😍"
@EdrisRustami,Neutral,0.0,0.0,0.0,1.0,2,0,They low-key barked at each other in the beginning
@Karikorak2005,Positive,0.9201,0.128,0.041,0.831,0,0,"🇬🇦 vs 🇨🇲The Cameroon vs. Gabon football rivalry, a Central African derby, is characterized by Cameroon's overall dominance but with notable Gabon upsets, often in AFCON, featuring legendary players like Samuel Eto'o and Pierre-Emerick Aubameyang. While Cameroon leads most head-to-head stats (e.g., 12 wins to 3 in some records), Gabon famously topped a 1994 World Cup qualifying group over the Lions and upset them 1-0 at AFCON 2010, highlighting their competitive spirit as near neighbors. Regional Power Dynamics: Cameroon, as one of Africa's football powerhouses, generally holds the upper hand, but Gabon, nicknamed the ""Panthers,"" often punches above its weight, especially in big tournaments.The clashes frequently occur in Africa Cup of Nations (AFCON) qualifiers, World Cup qualifiers, and the AFCON finals themselves.The rivalry has been defined by star players, including Cameroon's Samuel Eto'o and Gabon's talisman, Pierre-Emerick Aubameyang (whose father, Pierre Aubame, captained Gabon in the 90s)."
@DerionDmajorTV,Positive,0.8201,0.322,0.0,0.678,1,0,"That BB-YELLIN, but funny how some sistas get that BBL then want to act like they been gym gym for life 😅"
@Karikorak2005,Positive,0.5994,0.494,0.0,0.506,0,0,🏟️🏟️ congratulations DR Congo 🎈 🎊🎉 🍾 🍾
@Tpres1420,Neutral,0.0,0.0,0.0,1.0,0,0,did dude next to Jeffery come on the show already??
@wivetheman1,Negative,-0.4574,0.056,0.1,0.845,2,0,"The guy in blue reminds me of Dr. Seuss:because all these words he knows how to use 
If the show was a train he would be the caboose. Arlette is like get this guy out of the show this is abuse!"
@RedPoetryxo,Negative,-0.4941,0.209,0.276,0.515,1,0,WHAT IS WRONG WITH THESE WOMEN?!!!! This is a disaster show!!!!! Arlette looks gorgeous per usual!!!! Thanks for dropping on Xmas Eve:)
@jayjus5575,Negative,-0.1027,0.14,0.163,0.698,0,0,That guy in the leather outfit is doing way too much. It’s giving insecure
@BrandiTravelsSolo,Negative,-0.8227,0.0,0.323,0.677,0,0,"A whole leather two piece set, and the absolute NERVE. Dude threatening the women with kids is a complete weirdo, that’s not attractive."
@Tiaramoniqueee,Neutral,0.0,0.0,0.0,1.0,1,0,The lady in the pink was absolutely correct
@hiiij9638,Neutral,0.0,0.0,0.0,1.0,0,0,that first guy again 😂
@Karikorak2005,Neutral,0.0,0.0,0.0,1.0,0,0,❤❤❤watching Africa Nations Cup
@user-gt1kd9rv1w,Negative,-0.25,0.158,0.295,0.548,1,0,Pink dress has a few loose screws. She needs therapy for sure.
@Carl_1of1,Positive,0.4215,0.359,0.0,0.641,0,0,Talk to her nice bruh 😂🎉
@DerionDmajorTV,Neutral,0.0,0.0,0.0,1.0,0,0,Bro said he can tell by them chicken arms..... but you can tell she had a BBL
@joejohnson8642,Negative,-0.4215,0.0,0.318,0.682,2,0,These guys are just a waste of time
@singlesista3721,Positive,0.7027,0.368,0.0,0.632,1,0,Where did you find this special holiday line up? Send them back. 😅
@aurrewells1450,Positive,0.6249,0.203,0.0,0.797,2,0,"The “lil” yeah that right there. That’s gone tell it every time 😂. It ain’t a waist trainer, it’s a real good Tummy Tuck ❤"
@deecoun76,Negative,-0.1779,0.197,0.252,0.551,1,0,The guy in the black pleather fit seems miserable
@bobfisher-zd2lt,Positive,0.4574,0.214,0.0,0.786,0,0,I’m with the second guy the green dress is definitely my choice!
@lesliewheeler7071,Neutral,0.0,0.0,0.0,1.0,27,0,Council needs some counseling!!!
@otdavid_,Positive,0.6229,0.803,0.0,0.197,1,0,MERRY CHRISTMAS!! 🎄
@MrsB320,Neutral,0.0,0.0,0.0,1.0,1,0,45:32  NARC
@ItsAuthenticallyAnna,Negative,-0.3182,0.1,0.107,0.793,110,0,“I need a daughter to take care of me” 😒🙄🙄🙄 has all those sons but yet wants a girl just to step in the role of his caregiver. I’m disgusted by that comment and how casual dude said it
@old72mac,Neutral,0.0,0.0,0.0,1.0,20,0,A lineup of goofies!
@lerevelucide,Positive,0.2682,0.065,0.044,0.891,1,0,"The woman in the green seemed so emotionally intelligent, and then she went and popped on the only guy holding himself accountable, leaving that guy's ""father's only son""...the fact that she missed the 100 red flags from him 🫠...At the end she finally realized the dodged bullet 😂"
@CruellaSeville-up9ko,Positive,0.5707,0.35,0.141,0.509,2,0,Leather man… ignorance full blown!  Good luck in your future dating endeavors.
@Tshegomlp,Positive,0.9022,0.649,0.0,0.351,5,0,"Love itttt , I wish the the best, two Docs 1:03:50"
@saadiqabdulnasir5931,Positive,0.3612,0.172,0.0,0.828,0,0,Brother in black shirt and white pants look like Jamie Foxx on steroids
@latoria_03,Neutral,0.0,0.0,0.0,1.0,2,0,The first guy Is on my last nerves!!!!!!!!
@SS-vo4sl,Negative,-0.5106,0.0,0.524,0.476,1,0,First guy dumb asf
@kiikachu,Neutral,0.0,0.0,0.0,1.0,0,0,The more I hear about Ryan 🤮
@nayw7620,Positive,0.1027,0.169,0.144,0.688,0,0,The second to last girl was on before and she definitely lost weight 🎉
@pigglywiggly3488,Positive,0.3612,0.385,0.0,0.615,20,0,Arlette looking like a Christmas sugarplum ❤
@Carl_1of1,Positive,0.6597,0.474,0.0,0.526,0,0,Bam my type 😂🎉 I hope her body natural
@themaninthemask2.030,Neutral,0.0,0.0,0.0,1.0,1,0,“That GREEN”😂😂😂😂
@YGPR1212,Positive,0.6286,0.149,0.037,0.814,0,0,"When the show first starts Arlette says’ if you like what you see stay unpopped.. , and if it’s anything you’re not feeling then pop your balloon.. that is where initial attraction comes from"
@saadiqabdulnasir5931,Neutral,0.0,0.0,0.0,1.0,0,0,Council talking about going half on an baby
@ivegotthenews1534,Positive,0.872,0.524,0.0,0.476,2,0,The comedienne is awesome. 👏🏾👏🏾👏🏾 I'd love to see her do crowd-work.
@TheReal_E.IRIZARRY,Positive,0.3612,0.161,0.0,0.839,0,0,25:50 look like Patrick Ewing #33 of the NY Knicks + Keenan Ivory Wayans a bit.
@yourmuse5225,Negative,-0.8091,0.0,0.258,0.742,0,0,DAMN lil buddy or big unc in the leather was offended by not being what the lady in green wanted…I mean the animosity bled through the screen
@sassyy9562,Neutral,0.0,0.0,0.0,1.0,0,0,Marxa explanations were tooooo longgggg😂😂
@MrsB320,Negative,-0.5423,0.129,0.344,0.526,0,0,40:00  He does favor the purple monster from Show Bez. No harm intended. He’s cocky …
@parisxtrades,Neutral,0.0423,0.18,0.166,0.654,1,0,10:30 Yeah gurl we know. He not giving eye contact 😂
@beautifullife3271,Negative,-0.296,0.0,0.196,0.804,0,0,No wonder everyone here is single I mean listen to them 😂
@TruthBeToldIsMe,Negative,-0.7394,0.0,0.281,0.719,0,0,"""Is your ex still living"" is an extremely weird question!!!! She seems very insecure! May even need therapy!"
@mha10,Positive,0.4588,0.333,0.0,0.667,0,0,1:14:00 my goodness. The level of rambling.
@SuperDevildog2009,Positive,0.7767,0.119,0.0,0.881,0,0,"Out of all the questions you ask about divorce !!! 

I’m a window woman not a divorce woman? I know what the Bible says but God didn’t predict men betting on women, graping their kids, or being in jail for 10+ years not living up to jobs words. Like last dude said she needs healing"
@Carl_1of1,Negative,-0.6705,0.0,0.647,0.353,0,0,Stop hating Mrs. Arlette 😂🎉
@FourWindsSigma,Positive,0.3612,0.2,0.0,0.8,0,0,The uncs pulled them standards out like a belt and wasn't playing.😅
@k1ngfortheday,Neutral,0.0,0.0,0.0,1.0,0,0,The 3rd one was fireeeeeeeeee.
@ACLightnin,Negative,-0.5994,0.0,0.135,0.865,1,0,11:35 we don't need anymore podcasts on relationships or being single. We got more than enough of those that relationship-based podcasts should die off in 2026 😂
@NWB-NerdyWhileBlack,Positive,0.7184,0.273,0.0,0.727,0,0,"Naming something positive as a flaw is a massive red flag. ""Giving more of myself than I should."" is a red flag."
@estherzulu5011,Negative,-0.3804,0.0,0.565,0.435,1,0,Most boring lineup🙄🥱🥱
@Marcthegaurdian,Positive,0.7474,0.196,0.0,0.804,0,0,Mobile women with younger children are a HUGE red flag. Whose raising the kids? And why are you ok with someone else parenting while you're constantly on the move??!!
@Coachkingrod,Positive,0.6808,0.272,0.0,0.728,82,0,"""It's a medium shirt"" is the most random thing I think I've ever heard lol on this show lol."
@LizaH134,Positive,0.5574,0.408,0.131,0.462,0,0,I like that last match. This lineup was weird lol
@TallyWackerr,Positive,0.5106,0.155,0.0,0.845,3,0,"Green dress doesn’t have on a waist trainer, it’s shape wear plus lipo and she should be honest about that.."
@chaboi7,Neutral,0.0,0.0,0.0,1.0,0,0,Pop the balloon=  assisted living edition
@Talkerdata,Negative,-0.6369,0.0,0.286,0.714,0,0,Green dress lady is rude . No need to say you popped because of someone’s teeth
@season3og422,Neutral,0.0,0.0,0.0,1.0,0,0,Green dress ... GYYYAAATTTT 😭😭😭
@Madearoundtheway,Negative,-0.296,0.0,0.306,0.694,1,0,53 minutes in and no date.
@lordtytanworldwide,Neutral,0.0,0.0,0.0,1.0,0,0,Woman you’re talking way too much!
@Mianichollee,Positive,0.2263,0.318,0.212,0.471,0,0,Pink dress is definitely a strange lady
@mskiagotskillz618,Negative,-0.34,0.0,0.091,0.909,12,0,Is crazy The vibes that I get about the guy in the pleather is obviously real because literally every lady is popping on him😂 #FixYoAttitude 💯🙄
@littleredcorvette-l3d,Positive,0.147,0.122,0.125,0.754,0,0,"The Elegant Mrs. Arlette. I love your Dress. You always look so Beautiful.🌹Also I feel like a Minority inside the Black Community. I am a Black Lady that doesn't care for any Organize Religion. I've never liked going to Church. People assume that the devil has me. Especially in our Black Community. Because I don't care for any Religion.  And no I am not an Atheist Lady.  I've read the Bible. What is out there after we journey on?  I have no idea, until it's my time to go into the Spirit World.  People that come onto this dating show. Wanting a Godly Mate. Perhaps a Single Christian dating gathering would be more suited for them. Sending Love towards everyone.❤"
@xlaw6272,Negative,-0.5106,0.0,0.202,0.798,0,0,The doctor lady did not deserve this line-up.  They failed every test/question she had…
@QueenKutie,Positive,0.09,0.094,0.0,0.906,0,0,"She wants to Adopt Children, But the Man Cannot Claim A Child from A Previous Relationship 🤔"
@SJJ-y4c,Positive,0.2799,0.096,0.0,0.904,13,0,1:08:04 so she’s okay with adopting other folks’ children but they can’t claim children that they raised from a previous relationship??? Man… 😒
@AloshiAI,Positive,0.6696,0.6,0.0,0.4,1,0,I love the sixth lady! ❤
@EnigmaticXIV,Neutral,0.0,0.0,0.0,1.0,0,0,Why does the 4 guy from the left keeps looking at the camera and not making eye contact with the first girl 😂
@duwaine96,Positive,0.5423,0.194,0.113,0.693,0,0,"Fellas, take note, you see how women don't overly complement.They just say he looks nice and they keep it moving.. Dudes, please stop with the over complimenting. It's annoying, especially when they're popping on you.😂😂😂"
@pistolpete2761,Negative,-0.6956,0.0,0.242,0.758,1,0,Grown folk addition.. but that dude in the white pants is low key crazy. My man needs to be evaluated.
@lesliewheeler7071,Positive,0.6705,0.478,0.0,0.522,1,0,"Pink dress lady said, I appreciate you popping lol"
@foodtube889,Neutral,0.0,0.0,0.0,1.0,0,0,That lineup 😢😢😢😢😢😢😢😢😢
@anthonyholdenBey3711,Positive,0.8074,0.542,0.0,0.458,0,0,This new show is a good one It is a great want.
@xlaw6272,Negative,-0.4767,0.0,0.181,0.819,7,0,"Poor TERRENCE can’t get over the GREEN DRESS…

That brother is about to have nightmares…."
@latoria_03,Negative,-0.5374,0.0,0.464,0.536,1,0,This lineup is cooked!!!!! Smh
@STOthePoet,Positive,0.8472,0.444,0.0,0.556,1,0,"Arlette always looks greta, but this episode was just WOW!!!"
@MattTheeFirst,Positive,0.4588,0.188,0.0,0.812,0,0,I’m glad my guy matched with the last girl she was the finest one 💯
@stellamary204,Positive,0.5719,0.425,0.0,0.575,0,0,Perfect viewing for my Christmas viewing 😂
@Jus_Abdi1,Positive,0.8647,0.313,0.0,0.687,12,0,I LOVE TO TRAVEL to YouTube and make my way to this show because I just couldn’t FIND INITIAL ATTRACTION with other shows
@Madearoundtheway,Positive,0.8225,0.515,0.124,0.361,5,0,That comedian was lovely she looked fantastic. Those guys messed up.
@jazz6856,Negative,-0.4882,0.08,0.219,0.701,3,0,Terrance is giving weirdo.. keep saying “that green over there” I’ll be so uncomfortable if I was the lady in the green dress leave me alone
@Annointedxx,Neutral,0.0,0.0,0.0,1.0,0,0,First guy reminds me of Kanye 😂
@jtwoine,Neutral,0.0,0.0,0.0,1.0,0,0,A 50 year old female comedian…..pop pop pop. “Orange flag”
@deesmily1,Negative,-0.5163,0.033,0.077,0.89,0,0,"Lady in Green... Impossible body shape. I really don't understand all these ladies getting butt pads and all the rest of that... There's nobody in the world built like that. It's so obvious. Small waist and hips and thighs and backside gigantic. It's a trend, but it's really kind of ridiculous."
@Kaylawayla91,Negative,-0.1779,0.0,0.195,0.805,0,0,Shorty in the pink floral dress was weird
@michelniles8259,Positive,0.6124,0.288,0.106,0.606,2,0,"I laugh my ass off when Fat Black women come on the  show and say that their into fitness and want a fit man, and over 200lbs."
@nolackinguap6750,Negative,-0.2732,0.0,0.11,0.89,0,0,37:20 all the way to I’ll drop one in you tonight rhymed he had to had rehearsed that 😂
@SistahSistah-431,Neutral,0.0,0.0,0.0,1.0,2,0,"Does anyone hear, ‘I’m James from James Gourmet Pies’ 😫😫"
@latoya_racquel,Positive,0.9413,0.286,0.0,0.714,0,0,"""I got sons but I need a daughter to take care of me""- imagine being born to be a hospice nurse. I pray God blesses him with more sons. Why do people think traveling for work is the same as traveling for leisure. Vastly different"
@shytstarter718,Positive,0.2732,0.22,0.158,0.621,13,0,"This a bitter lineup, alot of these dudes in competition with the ladies lmao"
@EKTELESTES,Neutral,0.0,0.0,0.0,1.0,1,0,"Men do NOT understand that when a woman asks you about YOUR FLAWS, ""Anything you say can and will be used against you in a court of law"" and THEY are the Judges."
@ALittleBitOfEverything-555,Positive,0.4404,0.266,0.0,0.734,0,0,Some of the women look good for their age
@SweetLove_87,Negative,-0.126,0.236,0.276,0.488,1,0,These women deserved better than this gross lineup!
@brendaanthony7902,Positive,0.6369,0.457,0.0,0.543,0,0,Awww this was the best show.
@aluaaumade7670,Negative,-0.5255,0.0,0.106,0.894,1,0,Girl in the pink has some serious trauma. You can't parent a kid that's not yours and your ex wife can't be alive?! Meanwhile she's a foster parent and you would think she would understand how much a kid might needsl a mentor.
@mustlovedogs8179,Neutral,0.0,0.0,0.0,1.0,1,0,Did anyone catch that the one with braces has a 20 year old at 37?
@nappilyeveresther,Positive,0.3612,0.263,0.0,0.737,0,0,20:01 why did he roast her like that 😩
@MisbehavedLady,Neutral,0.0,0.0,0.0,1.0,0,0,The first guy...was he listing his name? 😅
@saadiqabdulnasir5931,Positive,0.296,0.216,0.0,0.784,0,0,Retried boss chick ok just moving in different direction
@SheltySergio,Negative,-0.4588,0.0,0.3,0.7,5,0,That 21 questions reference from 50 was savage 😅
@highlyfavored57,Positive,0.34,0.088,0.047,0.865,2,0,"The reason the widower  asked "" if they were divorced and is she alive"" is bc there is a Scripture that says:  A married woman is bound by law to her husband while he lives, and only his death releases her to remarry without being considered an adulteress. So that applies to the man also, he would be an adulterer. If ""his ex committed adultery within the marriage, ONLY  then can he get  re-married while she is still alive."
@PSGFultonSquare,Positive,0.6124,0.312,0.0,0.688,0,0,Dude said she looks like a Christmas tree like to put a present under there
@lifewithporshlynch2883,Negative,-0.4939,0.0,0.314,0.686,0,0,He just mad she popped his cousin balloon
@jtwoine,Positive,0.2263,0.19,0.135,0.675,0,0,Old dudes got no chill. “It’s a medium shirt”. Man take the compliment 😂.
@DwayneTimothyJohnson,Positive,0.4019,0.162,0.0,0.838,2,0,"I wish BM and Arlette would've kicked counsel deserve the William treatment ""my father only son"""
@thoughtsofablackman_,Positive,0.8841,0.341,0.06,0.598,1,0,Shawty wants a fit person but doesn't present fitness; the waist trainer look might be due to surgery but to each their own ..... wishing everyone happy holidays
@EnigmaticXIV,Positive,0.4588,0.231,0.0,0.769,1,0,The initial attraction isn’t there. I just wanted to hear her out
@MrsB320,Neutral,0.0,0.0,0.0,1.0,0,0,26:00  He’s A NARCISSIST SIS
@NickC-q9u,Positive,0.0772,0.067,0.0,0.933,1,0,And old school girl in the Green don’t want you he starting to get stalker vibes she been gone
@CreW-g5s,Neutral,0.0,0.0,0.0,1.0,0,0,@marixa1283 Why are you in these comments going back and forth with these folks… 🤦🏿‍♀️
@ninab4781,Positive,0.5994,0.494,0.0,0.506,1,0,"“50 cent, 21 questions” lmao"
@chaboi7,Positive,0.6486,0.275,0.0,0.725,0,0,"1st girl popped the bigger guys 1st but she looks like she got a baby bump, ijs."
@kerrineeunice2926,Positive,0.4019,0.172,0.0,0.828,0,0,The last lady is a gem in out and she definitely got herself a gentleman ❤❤❤❤
@jtwoine,Positive,0.0772,0.085,0.0,0.915,11,0,Not the pastor with his eye on another woman. Green over there didn’t want you 😂
@MCfact1827,Positive,0.2732,0.13,0.0,0.87,0,0,"@12:17.... He's not 5'10"". He's slightly taller than the hostess and she's well below 5'10"""
@Meikles888,Negative,-0.2732,0.131,0.212,0.657,2,0,All the ladies are top tier..just think these guys are intimidated
@jamesmarshall1567,Negative,-0.3818,0.0,0.565,0.435,2,0,arlette losing weight?
@NickC-q9u,Positive,0.4404,0.42,0.0,0.58,1,0,She looks good at 50
@elogan4820,Neutral,0.0,0.0,0.0,1.0,1,0,"I'm the only daughter of both my mother and father, through their extramarital affair..😂😂😂"
@nicrwill,Positive,0.3182,0.277,0.0,0.723,0,0,Green dress please be real with yourself
@thomassmith9538,Positive,0.2732,0.16,0.0,0.84,2,0,The lady who doesn’t believe in divorce is entitled to her opinion.
@amna6024,Negative,-0.5267,0.0,0.306,0.694,1,0,when the colorful hair lady said glasses man is missing no meals 😭
@onlyoneofme7,Positive,0.09,0.059,0.045,0.896,0,0,These men are very out of touch with reality. None of them wanna leave the house but want more kids at that grown age.
@DerionDmajorTV,Positive,0.5719,0.227,0.0,0.773,5,0,"1st time I'm hearing a guy say she a lil to tall, outside of giving that climb tree answer.. Cool"
@EllaMella,Negative,-0.5994,0.109,0.279,0.611,0,0,"Woman in the pink/red gave me weird vibes, like she would murder someone. She is a redddd flag."
@DivinelyBlessed2222,Negative,-0.3158,0.04,0.124,0.836,2,0,"Oohweee the lady in the pink dress was exhausting a bit
A lot of rambling that went nowhere 
Sorry for her loss but her questions didn't make sense"
@taransmith9784,Neutral,0.0,0.0,0.0,1.0,0,0,Yall women be doing the most 🤦‍♂️🤦‍♂️🤦‍♂️
@me7045,Neutral,-0.0258,0.21,0.217,0.573,0,0,garry big and strong and can`t make eye contact........ what a loser
@davidcunningham5267,Negative,-0.4767,0.0,0.756,0.244,0,0,Poor Jeffrey
@andreanatasharobinson9605,Negative,-0.5949,0.0,0.195,0.805,2,0,These men be out here looking for something they can not get....It be so irritating to me...SMH
@the_keyboard_plug,Neutral,0.0,0.0,0.0,1.0,1,0,Answer the daaaaaaaamn question motor mouth!!!!
@keimaye,Positive,0.6486,0.301,0.0,0.699,173,0,"""I've got son's, but I need a daughter to take care of me"" - 😐"
@katchrist_,Neutral,0.0,0.0,0.0,1.0,0,0,1:32:18 😂 He think he’s finer than he is
@saadiqabdulnasir5931,Positive,0.3612,0.263,0.0,0.737,0,0,"Sister in green dress act, like the host"
@deasharoberts8915,Negative,-0.2363,0.0,0.093,0.907,0,0,I was confused at first but i 100% get and understand the lady that’s a widow! It showed they don’t read the Bible
@Ace4Lsu,Negative,-0.1027,0.0,0.036,0.964,0,0,The lady in green is going to have a hard time finding someone to just come in and go along w all the plans she ALREADY has for the rest of her life. She doesn't seem the type to compromise
@sassyy9562,Negative,-0.2095,0.074,0.088,0.838,0,0,"Marxa with green dress, she talked a lot about fitness, but she does not look fit, especially from the behind. I think only fit thing I see is her waist and I’m sure she had surgery to get that. So you really shouldn’t be so judgmental against the men because you are not all that fit😂😂Especially your arms."
@VSVIDEOS25,Positive,0.8402,0.391,0.062,0.547,2,0,At this point I see this show as straight comedy and can't take it or the contestants seriously. Happy holidays everyone.
@paul_elago,Positive,0.6249,0.204,0.0,0.796,0,0,The last lady must be the finest I’ve seen on the show and she has a great personality.
@rufusjonesy,Negative,-0.3182,0.0,0.315,0.685,1,0,2X these oldheads are veryyyy boring
@UsagiMami,Neutral,0.0,0.0,0.0,1.0,0,0,19:42 SIR… SIR…. Just say you’re UNQUALIFIED
@Clairvoyant2020,Positive,0.7906,0.7,0.0,0.3,2,0,Merry Christmas Eve Blessings ❤❤❤
@PSGFultonSquare,Negative,-0.631,0.0,0.293,0.707,1,0,Ol girl said everything but her actually being wrong about something
@nicole4779,Neutral,0.0,0.0,0.0,1.0,0,0,Lady in the pink dress gave me headache 😒
@LivypAte-j6r,Positive,0.4927,0.313,0.0,0.687,0,0,"Very good question, what van u teach a young boy?"
@jtwoine,Neutral,0.0,0.0,0.0,1.0,0,0,So the second girl really thought she was gonna come on this show and find a man to follow her out the country….😂
@hawanyasmith8080,Neutral,0.0,0.0,0.0,1.0,0,0,48:17 her hair is fly!
@MONIoverbitches,Negative,-0.4215,0.0,0.359,0.641,2,0,Widow woman is freaking me out.
@CreW-g5s,Neutral,0.0,0.0,0.0,1.0,1,0,The 50 year old don’t look 50. You go girl!!
@braidplicity,Positive,0.3612,0.143,0.0,0.857,3,0,Did  guy in the leather say he still feels like he has a son in him 😮😮
@Supercat1978,Negative,-0.7906,0.0,0.333,0.667,0,0,"The lady in pink is all messed up sorry to say,she haven’t gotten over her dead husband as yet ❤"
@saadiqabdulnasir5931,Positive,0.5994,0.145,0.0,0.855,1,0,"The brother began cooking sister in green dress, why are these Christians finding themselves on this , dating show, plus the dress is super tight"
@PjAlston,Neutral,0.0,0.0,0.0,1.0,14,0,“You in real estate right? We can paint a house” 🤣🤣🤣🤣🤣 homeboy just be saying anything
@DKTay,Positive,0.743,0.512,0.0,0.488,2,0,Women love to holler fitness after that BBL 😂
@jayjus5575,Positive,0.8264,0.562,0.0,0.438,0,0,Arlette is serving us elegance today! Gorgeous dress!
@lesliewheeler7071,Negative,-0.5994,0.0,0.133,0.867,1,0,"Black muscle shirt guy just popped on the pink dress lady because he messed up and said MY WIFE is still around. He made an oopsie, was embarrassed, and knew he'd probably be popped."
@NotFilming,Positive,0.8658,0.304,0.049,0.647,4,0,"1:24:35 “I am in the gym like that” — As a person who has lost a lot of weight but doesn’t look like it, I loved that she said that."
@squirrel317,Positive,0.2467,0.241,0.156,0.603,0,0,Girl in the green ain't doing any fitness lol
@aaliyahford502,Negative,-0.4215,0.0,0.135,0.865,0,0,Lady in the green dress got her body done and rebranded herself on lies. I know a foodie when I see one.😂
@Ajchaney,Positive,0.3182,0.126,0.0,0.874,3,0,""" I’m my fathers only son"" 
He must be tryna  make sure he gets included in the Will"
@JPandsheshe,Negative,-0.7039,0.125,0.223,0.652,0,0,It amazes me how these women always say they in the gym and into health and fitness but almost always overweight… WTF!!
@kevinmorrison8068,Negative,-0.3956,0.119,0.086,0.796,0,0,"lady in the red is basically saying... if u get divorced, the partner is still living, its considered adultery. if the partner is dead then its ok to get married again. if the ex is alive then u are not allowed to get married!!  BULLSHIT!!!!!!!!!!!!!!!!"
@snowball6175,Positive,0.7906,0.389,0.0,0.611,3,0,1:03:55 I believe this couple were a great match. I hope it works out for them.
@MissTeeTee1111,Neutral,0.0,0.0,0.0,1.0,0,0,2:22 Nice-looking line-up 👌🏾👌🏾
@maryamsayyah5687,Neutral,0.0182,0.095,0.093,0.812,0,0,The green woman started the question by saying WITHOUT BLAMING your ex then once she wanted to reply to her question she blamed it all on her ex 😂😂
@CoopahgetcharightLLC,Neutral,0.0,0.0,0.0,1.0,0,0,Arlette finally switched up the french tips on the toes 👏🏽
@enigmathegrayman2953,Positive,0.6876,0.461,0.189,0.35,1,0,"16:30
Marxa, yes LAWD!!!! ….and she said DEBT FREE!!!"
@Tay9060S,Positive,0.9348,0.316,0.0,0.684,0,0,"Great to see that to date these women in their 40s, men need to bring their ""A"" game 👌🏻 they know what they want and can articulate it clearly and confidently, are financially stable, like to travel, etc...love to see it!"
@Pinkypie-LTA,Negative,-0.2425,0.132,0.187,0.681,0,0,She how she got rejected bc of her height and didn't throw an tantrum
@retroconservativeswirlerso6609,Negative,-0.4922,0.077,0.184,0.739,0,0,"These women and their ridiculous stipulations and ideas will NEVER have a good man! 🤦‍♀️ And Counsel, Sir, please get yourself a 30 year old snow bunny! 🐰 😂"
@solreve2575,Negative,-0.1027,0.0,0.259,0.741,0,0,This was hard to watch 😂
@kingparrish,Neutral,0.0,0.0,0.0,1.0,0,0,Trying to figure out if “can’t keep up with me” was referring to running away from the gym or today is the day resolutions?
@lifewithaja911,Positive,0.6369,0.344,0.0,0.656,1,0,Green dress VIOLATEDDDD I love her down SHE need a show
